Method,CogC,ev(G),iv(G),v(G)
com.pi.math_vision_android.ConfirmActivity.clickConfirm(View),0,1,1,1
com.pi.math_vision_android.ConfirmActivity.clickRetry(View),0,1,1,1
com.pi.math_vision_android.ConfirmActivity.onCreate(Bundle),4,1,4,4
com.pi.math_vision_android.ConfirmActivity.onResume(),0,1,1,1
com.pi.math_vision_android.EquationActivity.again(View),0,1,1,1
com.pi.math_vision_android.EquationActivity.onCreate(Bundle),1,1,2,2
com.pi.math_vision_android.ExampleInstrumentedTest.useAppContext(),0,1,1,1
com.pi.math_vision_android.ExampleUnitTest.addition_isCorrect(),0,1,1,1
com.pi.math_vision_android.MainActivity.actionFlash(View),3,1,3,3
com.pi.math_vision_android.MainActivity.createCameraPreview(),3,2,2,3
com.pi.math_vision_android.MainActivity.getAppContext(),0,1,1,1
com.pi.math_vision_android.MainActivity.onCreate(Bundle),6,2,3,4
"com.pi.math_vision_android.MainActivity.onRequestPermissionsResult(int, String[], int[])",3,1,3,3
com.pi.math_vision_android.MainActivity.openCameraAndInitializeImageDimension(),0,1,1,1
com.pi.math_vision_android.MainActivity.updatePreview(),2,1,3,3
"com.pi.math_vision_android.callbacks.CaptureStateCallback.CaptureStateCallback(CaptureCallback, Builder)",0,1,1,1
com.pi.math_vision_android.callbacks.CaptureStateCallback.onConfigureFailed(CameraCaptureSession),0,1,1,1
com.pi.math_vision_android.callbacks.CaptureStateCallback.onConfigured(CameraCaptureSession),1,1,2,2
com.pi.math_vision_android.helpers.CalculationHelper.getAnswer(String),2,1,2,3
com.pi.math_vision_android.helpers.CalculationHelper.stringToJqmath(String),0,1,1,1
com.pi.math_vision_android.helpers.CameraHelper.getImageDimension(),0,1,1,1
"com.pi.math_vision_android.helpers.CameraHelper.openCamera(CameraManager, Context, Activity, StateCallback)",2,1,3,3
com.pi.math_vision_android.helpers.CameraHelper.takePicture(TextureView),0,1,1,1
com.pi.math_vision_android.helpers.ImageManipulationHelper.convertBitmapToByteArray(Bitmap),0,1,1,1
"com.pi.math_vision_android.helpers.ImageManipulationHelper.flipImage(Bitmap, int)",4,1,5,5
com.pi.math_vision_android.helpers.ImageManipulationHelper.resizeImage(Bitmap),0,1,1,1
"com.pi.math_vision_android.helpers.ImageManipulationHelper.resizeImage(Bitmap, float, float)",0,1,1,1
"com.pi.math_vision_android.helpers.ImageManipulationHelper.rotateImage(Bitmap, float)",0,1,1,1
com.pi.math_vision_android.image_processing.ImageProcessingUtility.augmentImage(Mat),0,1,1,1
com.pi.math_vision_android.image_processing.ImageProcessingUtility.getBoundingRectangles(List<MatOfPoint>),1,1,2,2
com.pi.math_vision_android.image_processing.ImageProcessingUtility.getByteBufferFromBitmap(Bitmap),1,1,2,2
com.pi.math_vision_android.image_processing.ImageProcessingUtility.getIndividualSymbols(Mat),4,1,4,4
com.pi.math_vision_android.image_processing.ImageProcessingUtility.preprocessImage(List<Bitmap>),0,1,1,1
com.pi.math_vision_android.image_processing.ImageProcessingUtility.readImageToGrayScale(Bitmap),0,1,1,1
"com.pi.math_vision_android.image_processing.MatOfPointComparator.compare(MatOfPoint, MatOfPoint)",0,1,1,1
com.pi.math_vision_android.maker.EquationMaker.clearEquation(StringBuilder),8,1,4,5
com.pi.math_vision_android.maker.EquationMaker.imageToEquation(List<Bitmap>),1,1,2,2
com.pi.math_vision_android.recognition_model.SymbolRecognitionModelInterface.getPredictedSymbol(float[]),3,1,1,3
com.pi.math_vision_android.recognition_model.SymbolRecognitionModelInterface.getPrediction(Bitmap),1,1,1,2
com.pi.math_vision_android.recognition_model.SymbolRecognitionModelInterface.mapCharacter(int),0,1,1,1
onConfigureFailed(CameraCaptureSession),0,n/a,n/a,n/a
onConfigured(CameraCaptureSession),1,n/a,n/a,n/a
onDisconnected(CameraDevice),0,1,1,1
"onError(CameraDevice, int)",0,1,1,1
onManagerConnected(int),1,1,1,2
onOpened(CameraDevice),0,1,1,1
"onSurfaceTextureAvailable(SurfaceTexture, int, int)",0,1,1,1
onSurfaceTextureDestroyed(SurfaceTexture),0,1,1,1
"onSurfaceTextureSizeChanged(SurfaceTexture, int, int)",0,1,1,1
onSurfaceTextureUpdated(SurfaceTexture),0,1,1,1

Class,OCavg,OCmax,WMC
com.pi.math_vision_android.ConfirmActivity,1.60,3,8
com.pi.math_vision_android.EquationActivity,1.50,2,3
com.pi.math_vision_android.ExampleInstrumentedTest,1.00,1,1
com.pi.math_vision_android.ExampleUnitTest,1.00,1,1
com.pi.math_vision_android.MainActivity,1.50,4,24
com.pi.math_vision_android.callbacks.CaptureStateCallback,1.00,1,3
com.pi.math_vision_android.constants.OrientationConstants,n/a,n/a,0
com.pi.math_vision_android.constants.SymbolRecognitionModelClassConstants,n/a,n/a,0
com.pi.math_vision_android.helpers.CalculationHelper,1.00,1,2
com.pi.math_vision_android.helpers.CameraHelper,1.33,2,4
com.pi.math_vision_android.helpers.ImageManipulationHelper,1.80,5,9
com.pi.math_vision_android.image_processing.ImageProcessingUtility,1.67,3,10
com.pi.math_vision_android.image_processing.MatOfPointComparator,1.00,1,1
com.pi.math_vision_android.maker.EquationMaker,3.00,4,6
com.pi.math_vision_android.recognition_model.SymbolRecognitionModelInterface,1.67,3,5

Package,v(G)avg,v(G)tot
com.pi.math_vision_android,1.70,39
com.pi.math_vision_android.callbacks,1.33,4
com.pi.math_vision_android.helpers,1.80,18
com.pi.math_vision_android.image_processing,1.71,12
com.pi.math_vision_android.maker,3.50,7
com.pi.math_vision_android.recognition_model,2.00,6

Module,v(G)avg,v(G)tot
Math-Vision-Android.app.androidTest,1.00,1
Math-Vision-Android.app.main,1.83,84
Math-Vision-Android.app.unitTest,1.00,1

Project,v(G)avg,v(G)tot
project,1.79,86

